club_id,club_name,club_type,district,zone,country,state,city,latitude,longitude,charter_date,meeting_location,meeting_day,meeting_time,public_email,website,instagram,facebook,linkedin,youtube,description,last_updated
100001,LUMS Bengaluru,University,3192,4,India,Karnataka,Bengaluru,12.948962,77.612094,2009-07-01,,,,lums-bengaluru@example.org,https://example.org/club,https://instagram.com/lumsbengaluru,https://facebook.com/lums-bengaluru,https://linkedin.com/company/lums-bengaluru,https://youtube.com/@exampleclub,"A university-based Rotaract club serving Bengaluru, India.",2026-08-01
100046,University of Colombo Mumbai,University,3141,3,India,Maharashtra,Mumbai,19.075461,72.874261,,Mumbai Community Hall,,,,,https://instagram.com/universityofcolombomu,,,,,2026-08-01
100086,Delhi,Community,3011,2,India,Delhi,Delhi,28.585768,77.229898,2008-07-01,Delhi Community Hall,Friday,,delhi@example.org,,,,,,"A community-based Rotaract club serving Delhi, India.",2026-08-01
100121,Manipal Academy Chennai,University,3232,5,India,Tamil Nadu,Chennai,13.069688,80.2993,,Chennai Community Hall,,18:30,,https://example.org/manipal-academy-chennai,https://instagram.com/manipalacademychennai,,,https://youtube.com/@manipalacademychennai,,2026-08-01
100151,Hyderabad,Community,3150,4,India,Telangana,Hyderabad,17.391912,78.476663,,,,,,,https://instagram.com/hyderabad,,,,,2026-08-01
100179,Kolkata,Community,3291,6,India,West Bengal,Kolkata,22.536193,88.327431,2011-07-01,Kolkata Community Hall,Saturday,,kolkata@example.org,,,,,,,2026-08-01
100204,Pune,Community,3131,3,India,Maharashtra,Pune,18.497463,73.848677,2015-07-01,Pune Community Hall,Sunday,,pune@example.org,,https://instagram.com/pune,https://facebook.com/pune,,,,2026-08-01
100229,Ahmedabad,Community,3051,2,India,Gujarat,Ahmedabad,23.040239,72.606282,,Ahmedabad Community Hall,Saturday,,ahmedabad@example.org,https://example.org/ahmedabad,https://instagram.com/ahmedabad,,,,"A community-based Rotaract club serving Ahmedabad, India.",2026-08-01
100247,University of Jaipur,University,3052,2,India,Rajasthan,Jaipur,26.936421,75.754271,2021-07-01,Jaipur Community Hall,Sunday,10:00,university-of-jaipur@example.org,https://example.org/university-of-jaipur,,https://facebook.com/university-of-jaipur,,,,2026-08-01
100262,LUMS Kochi,University,3201,5,India,Kerala,Kochi,9.949554,76.265045,2022-07-01,,Wednesday,17:00,,,,https://facebook.com/lums-kochi,,https://youtube.com/@lumskochi,"A university-based Rotaract club serving Kochi, India.",2026-08-01
100278,Lucknow,Community,3110,1,India,Uttar Pradesh,Lucknow,26.857785,80.957529,,,Saturday,17:00,lucknow@example.org,https://example.org/lucknow,https://instagram.com/lucknow,,,,"A community-based Rotaract club serving Lucknow, India.",2026-08-01
100292,Presidency College Chandigarh,University,3080,1,India,Chandigarh,Chandigarh,30.718559,76.780407,2023-07-01,Chandigarh Community Hall,,17:00,presidency-college-chand@example.org,https://example.org/presidency-college-chand,https://instagram.com/presidencycollegechand,,,,,2026-08-01
