club_id,club_name,club_type,district,zone,country,state,city,latitude,longitude,charter_date,status,meeting_location,meeting_day,meeting_time,public_email,website,instagram,facebook,linkedin,youtube,description,last_updated
RC00001,University of Colombo Bengaluru,university,3192,4,India,Karnataka,Bengaluru,12.965708,77.558421,,active,,Wednesday,18:30,university-of-colombo-be@example.org,,,,,,"A university-based Rotaract club serving Bengaluru, India.",2026-08-01
RC00002,University of Colombo Bengaluru 2,university,3192,4,India,Karnataka,Bengaluru,12.980636,77.574941,,unknown,,,17:00,university-of-colombo-be@example.org,,,,https://linkedin.com/company/university-of-colombo-be,,"A university-based Rotaract club serving Bengaluru, India.",2026-08-01
RC00003,Tribhuvan University Bengaluru,university,3192,4,India,Karnataka,Bengaluru,12.986924,77.577453,2024-07-01,unknown,,Friday,,tribhuvan-university-ben@example.org,,,,,,"A university-based Rotaract club serving Bengaluru, India.",2026-08-01
RC00004,Christ University Bengaluru,university,3192,4,India,Karnataka,Bengaluru,12.984908,77.574854,2010-07-01,unknown,Bengaluru Community Hall,,10:00,,,,,,,,2026-08-01
RC00005,Tribhuvan University Bengaluru 5,university,3192,4,India,Karnataka,Bengaluru,12.977986,77.625107,,active,,Sunday,17:00,,,https://instagram.com/tribhuvanuniversityben,https://facebook.com/tribhuvan-university-ben,,,,2026-08-01
RC00006,Bengaluru Central,community,3192,4,India,Karnataka,Bengaluru,12.996176,77.630134,2020-07-01,active,Bengaluru Community Hall,Wednesday,,,,https://instagram.com/bengalurucentral,,,,"A community-based Rotaract club serving Bengaluru, India.",2026-08-01
RC00007,Bengaluru Central 7,community,3192,4,India,Karnataka,Bengaluru,12.965659,77.557401,,active,Bengaluru Community Hall,Saturday,,bengaluru-central-7@example.org,,https://instagram.com/bengalurucentral7,https://facebook.com/bengaluru-central-7,,,"A community-based Rotaract club serving Bengaluru, India.",2026-08-01
RC00008,Bengaluru Sunrise,community,3192,4,India,Karnataka,Bengaluru,12.984932,77.562711,2008-07-01,active,,,19:00,bengaluru-sunrise@example.org,,,https://facebook.com/bengaluru-sunrise,,,"A community-based Rotaract club serving Bengaluru, India.",2026-08-01
RC00009,Bengaluru Sunrise 9,community,3192,4,India,Karnataka,Bengaluru,,,2018-07-01,inactive,,,10:00,bengaluru-sunrise-9@example.org,,https://instagram.com/bengalurusunrise9,https://facebook.com/bengaluru-sunrise-9,,,,2026-08-01
RC00010,NUST Bengaluru,university,3192,4,India,Karnataka,Bengaluru,12.951531,77.607159,,active,Bengaluru Community Hall,Saturday,,nust-bengaluru@example.org,https://example.org/nust-bengaluru,https://instagram.com/nustbengaluru,https://facebook.com/nust-bengaluru,,,"A university-based Rotaract club serving Bengaluru, India.",2026-08-01
